primary_type,hour,weekday,count
NARCOTICS,15,Thursday,2435
NARCOTICS,15,Tuesday,2463
NARCOTICS,15,Wednesday,2490
NARCOTICS,16,Friday,1983
NARCOTICS,16,Monday,1711
NARCOTICS,16,Saturday,1525
NARCOTICS,16,Sunday,1587
NARCOTICS,16,Thursday,2147
NARCOTICS,16,Tuesday,2179
NARCOTICS,16,Wednesday,2180
NARCOTICS,17,Friday,1756
NARCOTICS,17,Monday,1572
NARCOTICS,17,Saturday,1482
NARCOTICS,17,Sunday,1508
NARCOTICS,17,Thursday,1847
NARCOTICS,17,Tuesday,1774
NARCOTICS,17,Wednesday,1875
NARCOTICS,18,Friday,2720
NARCOTICS,18,Monday,2403
NARCOTICS,18,Saturday,2348
NARCOTICS,18,Sunday,2162
NARCOTICS,18,Thursday,2557
NARCOTICS,18,Tuesday,2594
NARCOTICS,18,Wednesday,2705
NARCOTICS,19,Friday,4075
NARCOTICS,19,Monday,3764
NARCOTICS,19,Saturday,3475
NARCOTICS,19,Sunday,3387
NARCOTICS,19,Thursday,3943
NARCOTICS,19,Tuesday,4065
NARCOTICS,19,Wednesday,4009
NARCOTICS,20,Friday,3714
NARCOTICS,20,Monday,3376
NARCOTICS,20,Saturday,3133
NARCOTICS,20,Sunday,2837
NARCOTICS,20,Thursday,3346
NARCOTICS,20,Tuesday,3579
NARCOTICS,20,Wednesday,3635
NARCOTICS,21,Friday,3403
NARCOTICS,21,Monday,3018
NARCOTICS,21,Saturday,2834
NARCOTICS,21,Sunday,2537
NARCOTICS,21,Thursday,2982
NARCOTICS,21,Tuesday,3199
NARCOTICS,21,Wednesday,3101
NARCOTICS,22,Friday,2986
NARCOTICS,22,Monday,2758
NARCOTICS,22,Saturday,2392
NARCOTICS,22,Sunday,2313
NARCOTICS,22,Thursday,2649
NARCOTICS,22,Tuesday,2859
NARCOTICS,22,Wednesday,2681
NARCOTICS,23,Friday,2304
NARCOTICS,23,Monday,2095
NARCOTICS,23,Saturday,1884
NARCOTICS,23,Sunday,1766
NARCOTICS,23,Thursday,2025
NARCOTICS,23,Tuesday,2095
NARCOTICS,23,Wednesday,2045
THEFT,0,Friday,6633
THEFT,0,Monday,6512
THEFT,0,Saturday,7138
THEFT,0,Sunday,7529
THEFT,0,Thursday,6060
THEFT,0,Tuesday,6034
THEFT,0,Wednesday,6065
THEFT,1,Friday,2897
THEFT,1,Monday,2534
THEFT,1,Saturday,4469
THEFT,1,Sunday,4904
THEFT,1,Thursday,2430
THEFT,1,Tuesday,2399
THEFT,1,Wednesday,2386
THEFT,2,Friday,2352
THEFT,2,Monday,2105
THEFT,2,Saturday,3957
THEFT,2,Sunday,4245
THEFT,2,Thursday,1971
THEFT,2,Tuesday,1926
THEFT,2,Wednesday,1909
THEFT,3,Friday,2066
THEFT,3,Monday,1824
THEFT,3,Saturday,3005
THEFT,3,Sunday,3447
THEFT,3,Thursday,1820
THEFT,3,Tuesday,1726
THEFT,3,Wednesday,1624
THEFT,4,Friday,1639
THEFT,4,Monday,1619
THEFT,4,Saturday,2145
THEFT,4,Sunday,2477
